0.000	1.000
0.020	1.000
0.040	1.000
0.060	1.000
0.080	1.000
0.100	1.000
0.120	1.000
0.140	1.000
0.160	1.000
0.180	1.000
0.200	1.000
0.220	1.000
0.240	1.000
0.260	1.000
0.280	1.000
0.300	1.000
0.320	1.000
0.340	1.000
0.360	1.000
0.380	1.000
0.400	1.000
0.420	1.000
0.440	1.000
0.460	1.000
0.480	1.000
0.500	1.000
0.520	1.000
0.540	1.000
0.560	1.000
0.580	1.000
0.600	1.000
0.620	1.000
0.640	1.000
0.660	1.000
0.680	1.000
0.700	0.999
0.720	0.999
0.740	0.998
0.760	0.998
0.780	0.996
0.800	0.993
0.820	0.989
0.840	0.982
0.860	0.970
0.880	0.950
0.900	0.918
0.920	0.865
0.940	0.777
0.960	0.632
0.980	0.393
1.000	0.000
